Date,high,low,close,open,volumek,gas,oil,coal,power,stock,pos,neg,trends
2021/3/2,38.73,37.16,38.69,37.25,3.33,40.51,62.7,66.15,42.45,412.2,0.325,0.215,25
2021/3/3,38.75,37.49,37.82,38.72,2.72,38.79,64.07,65.7,42.08,412.4,0.563,0.252,0
2021/3/4,38.73,37.03,38.51,37.95,2.1,39.83,66.74,65.2,42.07,411.3,0.229,0.035,23
2021/3/5,39.45,38.16,39.36,38.6,1.7,41.25,69.36,65.25,42.95,407.6,0.352,0.466,27
2021/3/8,39.76,38.67,39.47,39.76,3.13,40.4,68.24,65.5,41.97,417.2,0.083,0,25
2021/3/9,41.1,39.4,40.98,39.57,1.61,42.78,67.52,66,43,420.5,0.243,0.182,28
2021/3/10,42.12,40.83,41.87,40.96,7.58,44.89,67.9,65.8,44.46,421.7,0.315,0.171,24
2021/3/11,43.02,41.35,42.27,42.01,9.37,46.58,69.63,65.8,45.42,423.9,0.894,0.041,25
2021/3/12,43.22,41.85,43.19,42.16,3.02,47.5,69.22,66.05,45.89,422.7,0.769,0.188,31
2021/3/15,43.65,42.42,42.73,42.44,8.3,45.29,68.88,66.35,46.88,422.7,0.133,0,24
2021/3/16,42.94,41.92,41.96,42.5,12.13,44.05,68.39,66.3,46.41,426.5,0.417,0.138,30
2021/3/17,43.4,42.1,43.34,42.33,5.37,45.17,68,67.55,47.91,424.9,0.342,0.587,29
2021/3/18,44.07,42.58,42.74,43.34,8.89,44.51,63.28,68.1,47.93,427,0.64,0,30
2021/3/19,42.64,41.6,42.31,42.4,2.72,43.1,64.53,68.45,47.27,425.81,0.697,0.614,26
2021/3/22,43.35,42.09,43.18,42.1,1.08,45.73,64.62,68.5,47.01,418.5,0,0,36
2021/3/23,43.11,41.67,41.78,43.02,3.18,46.67,60.79,68.5,47.42,417.9,0.293,0.212,27
2021/3/24,42.03,41.12,41.96,41.86,3.08,47.45,64.41,68.5,46.72,417.9,0.216,0.392,24
2021/3/25,41.95,40,40.71,41.84,3.48,47.25,61.95,68.5,47.03,417.5,0.539,0.305,37
2021/3/26,42.17,40.64,42.09,40.71,2.27,48.39,64.57,68.5,47.24,421.7,0.747,0.657,20
2021/3/29,42.64,41.19,42.2,41.84,1.12,47,64.98,70.6,47.17,422.9,0,0,30
2021/3/30,42.83,41.83,42.4,41.94,3.4,48.2,64.14,70,47.16,426,0.796,0.272,10
2021/3/31,43.1,42.37,42.89,42.48,1.3,46.8,63.54,70.05,47.19,425.3,0.468,0.107,25
2021/4/1,43.16,42.53,42.81,42.89,1.01,47.21,64.86,70.2,46.98,427.6,0.355,0.332,13
2021/4/5,42.81,42.81,42.81,42.81,1.01,47.21,62.15,70.2,46.98,427.6,0,0,13
2021/4/6,44.65,43.13,44.6,43.2,2.11,48.97,62.74,70.3,47.45,430.5,0.17,0.082,25
2021/4/7,44.72,43.9,44.23,44.72,1.34,47.96,63.16,68.8,47.12,430,0.316,0.325,34
2021/4/8,44.32,43.7,43.85,44.15,1.67,47.2,63.2,67.2,47.31,432.1,0.341,0.094,30
2021/4/9,44.15,43.54,44.03,43.9,1.43,46.86,62.95,67.55,49.07,432.7,0.558,0.433,24
2021/4/12,44.97,44.07,44.86,44.23,3.55,49.14,63.28,68.35,50.91,431,0,0,29
2021/4/13,45.04,44.15,44.24,44.97,2.31,48.6,63.67,68.85,51.2,431.3,0.634,0.038,22
2021/4/14,44.56,43.86,44.2,44.38,2.35,48.88,66.58,69.15,50.97,432.3,0.619,0.407,29
2021/4/15,44.9,44.27,44.55,44.32,1.5,50.39,66.94,70.2,52.17,434.5,0.26,0.431,31
2021/4/16,45.18,44.77,44.8,45.15,2.36,51.15,66.77,71.6,53.16,438.2,0.605,0,23
2021/4/19,45.31,44.29,44.74,44.9,2.55,52.48,67.05,71.5,53.19,438.7,0.036,0.265,0
2021/4/20,45.55,44.42,45.29,44.53,1.3,52.82,66.57,71.5,53.34,429.7,0.125,0.253,27
2021/4/21,46.89,45.3,46.32,45.31,2.4,52.82,65.32,71.5,53.55,433,0.923,0.219,26
2021/4/22,47.67,46.66,47.51,46.76,2.03,53.86,65.4,71.8,54.47,435.9,0.361,0.044,35
2021/4/23,47.53,46.53,47.38,47.45,2.56,50.72,66.11,71.8,54.43,435.2,0.899,0.23,30
2021/4/26,48.13,47.39,47.67,47.39,1.68,51.64,65.65,71.7,53.43,436.7,0,0,31
2021/4/27,48.28,46.84,47.78,47.5,1.36,54.8,66.42,71.85,53.56,435.9,0.105,0.059,34
2021/4/28,48.85,47.81,48.28,48.15,7.19,54.98,67.27,71.75,53.54,436.7,0.127,0.065,31
2021/4/29,48.65,47.65,48.51,48.31,2.96,57.89,68.56,71.9,53.61,435.7,0.613,0.27,25
2021/4/30,49.83,48.2,49.31,48.58,7.7,60.24,67.25,71.9,54.63,434.4,0.25,0.462,100
2021/5/3,50.34,49.59,49.9,49.59,0.7,60.24,67.56,78.65,52.84,437,0.14,0.119,30
2021/5/4,50.33,48.87,49.06,50.09,3.35,59.57,68.88,78.5,52.98,430.4,0.035,0,29
2021/5/5,49.96,49.1,49.91,49.32,9.53,61.7,68.96,80.05,54,439,0.692,0.058,35
2021/5/6,50.95,49.7,50.41,49.96,3.74,62.25,68.09,81.55,55.92,438.4,0.104,0.057,26
2021/5/7,51.58,49.9,50.93,50.58,2.97,61.23,68.28,82.5,55.06,442.6,0.96,0.538,35
2021/5/10,53.25,51.5,52.72,51.5,3.14,64.05,68.32,83.8,55.62,443.7,0.153,0,38
2021/5/11,53.94,51.9,53.55,52.38,4.22,65.62,68.55,84.8,55.01,434.3,1.191,0.691,42
