date,compound,pos,neu,neg,trends
2021/9/14,2.4461,1.145,5.506,0.35,49
2021/9/15,0.8726,0.227,1.681,0.091,33
2021/9/16,0.5364,0.15,2.85,0,40
2021/9/17,1.9548,0.885,4.589,0.526,26
2021/9/20,0.1531,0.054,0.946,0,15
2021/9/21,2.2612,0.921,2.828,0.251,28
2021/9/22,0.2023,0.067,1.933,0,39
2021/9/23,1.1728,0.878,4.506,0.616,28
2021/9/24,0.6959,0.665,4.939,0.396,24
2021/9/27,1.5289,0.497,1.396,0.107,28
2021/9/28,-0.0772,0.068,0.826,0.106,36
2021/9/29,1.2945,0.647,2.99,0.363,35
2021/9/30,-0.5574,0.129,1.67,0.201,32
2021/10/1,1.3362,0.672,6.025,0.303,24
2021/10/4,1.4926,0.405,1.595,0,22
2021/10/5,-0.1804,0.42,4.105,0.476,40
2021/10/6,1.8015,0.708,5.054,0.239,37
2021/10/7,0.1318,0.228,2.643,0.13,29
2021/10/8,1.1867,0.915,5.511,0.575,38
2021/10/11,0,0,0,0,36
2021/10/12,1.0162,0.306,1.548,0.146,39
2021/10/13,-0.0205,0.301,3.406,0.293,36
2021/10/14,1.1308,0.426,2.574,0,36
2021/10/15,2.5384,1.033,4.681,0.286,26
2021/10/18,0,0,0,0,35
2021/10/19,-0.1401,0.15,2.585,0.265,39
2021/10/20,0.3721,0.297,1.389,0.314,43
2021/10/21,0.8528,0.57,3.013,0.417,28
2021/10/22,0.1275,0.536,1.956,0.508,26
2021/10/25,0,0,0,0,35
2021/10/26,1.4004,0.36,1.64,0,37
2021/10/27,0.4772,0.505,2.321,0.175,24
2021/10/28,-0.2273,0.176,2.61,0.213,34
2021/10/29,-1.7306,0.294,3.047,0.659,26
2021/11/1,0.4588,0.2,0.8,0,30
2021/11/2,-1.5906,0.132,2.356,0.512,31
2021/11/3,-0.4767,0.055,0.809,0.136,24
2021/11/4,0.7289,0.359,3.582,0.059,23
2021/11/5,-1.2232,0.575,6.687,0.737,26
2021/11/8,1.0726,0.351,1.649,0,26
2021/11/9,0.6486,0.254,1.669,0.077,29
2021/11/10,1.3697,0.477,2.417,0.106,23
2021/11/11,0.1973,0.496,3.143,0.362,32
2021/11/12,0.8443,0.489,3.18,0.332,19
2021/11/15,0,0,0,0,31
2021/11/16,0.9169,0.357,0.643,0,38
2021/11/17,0.4912,0.298,2.497,0.205,45
2021/11/18,0.7579,0.181,0.771,0.049,30
2021/11/19,-1.3698,0.317,4.042,0.639,27
2021/11/22,0,0,0,0,32
2021/11/23,-0.4013,0.309,2.387,0.304,31
2021/11/24,1.7791,0.62,2.262,0.117,36
2021/11/25,0.6323,0.278,2.561,0.161,36
2021/11/26,0.9967,0.809,4.722,0.47,29
2021/11/29,0.758,0.25,1.698,0.052,37
2021/11/30,0.6322,0.417,3.363,0.219,40
2021/12/1,1.9911,0.492,3.437,0.07,52
2021/12/2,0.5463,0.213,4.674,0.114,36
2021/12/3,1.5639,0.784,2.854,0.362,33
2021/12/6,0,0,0,0,39
2021/12/7,1.1864,0.344,1.592,0.064,43
2021/12/8,1.9643,0.577,5.423,0,37
2021/12/9,0.2815,0.378,2.414,0.208,39
2021/12/10,1.545,0.762,4.832,0.406,36
2021/12/13,0,0,0,0,35
2021/12/14,3.6126,0.882,4.032,0.086,37
2021/12/15,1.4773,0.444,2.427,0.129,27
2021/12/16,0.3926,0.853,5.392,0.756,34
2021/12/17,1.2757,1.311,6.704,0.982,42
2021/12/20,0,0,0,0,20
2021/12/21,1.4267,0.716,3.048,0.237,41
2021/12/22,0.668,0.329,2.473,0.196,22
2021/12/23,-0.3386,0.712,4.53,0.758,34
2021/12/24,0.0476,0.334,3.327,0.339,0
2021/12/27,0,0,0,0,23
2021/12/28,0,0,0,0,12
2021/12/29,0,0,0,0,22
2021/12/30,0,0,0,0,17
2021/12/31,0,0,0,0,0
2022/1/3,-0.5994,0,0.855,0.145,56
2022/1/4,0.0772,0.029,0.971,0,94
2022/1/5,1.1032,0.457,2.323,0.221,36
2022/1/6,1.6575,0.622,1.378,0,29
2022/1/7,0.8219,0.45,6.182,0.369,37
2022/1/10,0,0,0,0,51
2022/1/11,0.5878,0.283,1.55,0.167,40
2022/1/12,0.1535,0.44,4.115,0.445,34
2022/1/13,-0.1288,0.129,1.708,0.163,100
2022/1/14,-1.2817,1.128,9.526,1.347,28
2022/1/17,0.8225,0.193,0.807,0,32
2022/1/18,0.3612,0.441,2.157,0.402,43
2022/1/19,0.9476,0.56,5.146,0.294,28
2022/1/20,1.2988,0.582,3.085,0.333,46
2022/1/21,2.4473,1.03,5.592,0.379,24
2022/1/24,0,0,0,0,75
2022/1/25,-0.0896,0.56,2.897,0.542,40
2022/1/26,-0.4317,0.352,3.999,0.649,37
2022/1/27,2.1788,0.758,2.242,0,40
2022/1/28,1.0073,0.766,4.713,0.519,33
2022/1/31,0.0808,0.043,0.922,0.035,34
2022/2/1,0.2362,0.567,3.958,0.474,37
2022/2/2,0.0724,0.463,3.061,0.477,43
2022/2/3,2.9749,1.084,5.496,0.42,50
2022/2/4,1.7282,0.946,5.602,0.453,38
2022/2/7,0,0,0,0,45
2022/2/8,-1.8579,0.304,3.971,0.725,46
2022/2/9,0.4076,0.165,1.779,0.056,39
2022/2/10,-1.7084,0.377,2.981,0.644,38
2022/2/11,-0.6562,0.793,6.225,0.983,38
2022/2/14,0,0,0,0,45
2022/2/15,-0.196,0.268,2.44,0.293,60
2022/2/16,0.9144,0.242,2.715,0.043,54
2022/2/17,0.0552,0.362,3.301,0.337,50
2022/2/18,1.0458,0.827,6.603,0.57,45
2022/2/21,-0.25,0.132,1.662,0.206,37
2022/2/22,1.2569,0.456,2.406,0.138,39
2022/2/23,-0.5222,0.226,1.479,0.294,43
2022/2/24,1.5966,0.456,2.42,0.125,40
2022/2/25,0.2049,1.037,5.096,0.866,26
2022/2/28,-0.0516,0.058,0.879,0.063,41
2022/3/1,-1.1488,0.325,2.18,0.494,48
2022/3/2,-0.0036,0.663,2.749,0.589,47
2022/3/3,0.4204,0.884,4.364,0.752,45
2022/3/4,-1.8093,0.918,4.945,1.134,39
2022/3/7,0,0,0,0,42
2022/3/8,-2.0154,0.422,3.731,0.847,42
2022/3/9,1.5175,0.644,2.08,0.277,35
2022/3/10,-0.5907,0.549,3.794,0.658,40
